"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
study_id,eligibility_screening_questionnaire,,text,"Study ID",,,,,,,,,,,,,
s_date,eligibility_screening_questionnaire,"<div style=""font-size: 1.5em"">ADMINISTRATIVE INFORMATION</div>",text,"A0. Date of screening questionnaire",,mm/dd/yyyy,date_mdy,,2022-12-31,,,y,,,,,
s_staff,eligibility_screening_questionnaire,,text,"A0a. Study staff initials: ",,,alpha_only,,,,,y,,,,,
s_mode,eligibility_screening_questionnaire,,radio,"A0b. Is the screening questionnaire occurring via telephone, virtual/remote, or in person?","1, Telephone|2, Virtual or remote |3, In person",,,,,,,y,,,,,
s_language,eligibility_screening_questionnaire,,checkbox,"A0c. Language spoken: ","1, English | 2, Spanish | 88, Neither",,,,,,,y,,,,," @NONEOFTHEABOVE='1,2,88'"
s_site,eligibility_screening_questionnaire,,radio,"A0d. Research Site:","2, Columbia University | 3, University of Alabama at Birmingham | 4, University of Utah",,,,,,,,,,,,
s_a0c_script,eligibility_screening_questionnaire,,descriptive,"IF PATIENT SPEAKS NEITHER ENGLISH NOR SPANISH, <u>STOP</u>.",,,,,,,[s_language(88)]='1',,,,,," @HIDDEN-SURVEY"
s_interest,eligibility_screening_questionnaire,"<div style=""font-size: 1.5em"">INTRODUCTION</div>",radio,"A1. Hello.  We are conducting a voluntary study for which you may be eligible.  The study will follow a group of pregnant women to see if they get COVID-19 and will help us to learn more about the impact of COVID-19 on pregnant women.  This study will involve being contacted once a week by text message or email (or by telephone if needed) while you are pregnant to answer a few brief screening questions. You will also be asked to collect respiratory samples from your nose and mail them to a central laboratory once a week in a pre-paid package. If you get sick, we will ask you to collect an additional respiratory sample with each illness episode and mail it to the central laboratory in a pre-paid package. You will also be asked to have blood drawn around the time you enroll in the study, up to one additional time during the study, and within 2-4 weeks of the end of your pregnancy. Study staff will also contact you monthly throughout your pregnancy and once after you have your baby to ask you questions about your health and your pregnancy and delivery.  May I talk to you about this study and ask you a few short questions to see if you are eligible to participate?","1, Yes | 0, No",,,,,,[s_language(1)]='1',,,,,,
s_interest_no,eligibility_screening_questionnaire,,radio,"A1a. Do you mind telling me the reason you do not want to learn more about the study?","1, Too busy|2, Not Interested|3, Other",,,,,,[s_interest]='0',,,,,,
s_interest_no_spec,eligibility_screening_questionnaire,,text,"A1b. Other, specify: ",,,,,,,[s_interest_no]='3',,,,,,
s_a1b_script,eligibility_screening_questionnaire,,descriptive,"<b>SAY</b>: Thank you for your time. We wish you well.",,,,,,,[s_interest]='0',,,,,," @HIDDEN-SURVEY"
s_re_willing,eligibility_screening_questionnaire,,radio,"A2. Would you be willing to answer two quick questions about your race and ethnicity?","1, Yes | 0, No",,,,,,[s_interest]='1',,,,,,
s_race,eligibility_screening_questionnaire,,checkbox,"A2a. What race do you consider yourself to be? [CHECK ALL THAT APPLY]","1, White | 2, Asian | 3, Black or African American | 4, Native Hawaiian or Other Pacific Islander | 5, American Indian or Alaska Native | 6, Some Other Race, specify","CHECK ALL THAT APPLY",,,,,[s_re_willing]='1',,,,,,
s_race_spec,eligibility_screening_questionnaire,,text,"A2b. Some Other Race, specify",,,,,,,[s_race(6)]='1',,,,,,
s_ethnicity,eligibility_screening_questionnaire,,radio,"A2c. Are you Hispanic, Latino/a, or of Spanish origin? [CHOOSE ONLY ONE]","1, Hispanic/Latino/Spanish origin | 0, Non-Hispanic/not Latino/not Spanish origin",,,,,,[s_re_willing]='1',,,,,,
s_age_spec,eligibility_screening_questionnaire,"<div style=""font-size: 1.5em"">Eligibility Screening Questions</div>",text,"A3. What is your age? [Enter participant age here:]",,,integer,10,70,,[s_interest]='1',,,,,,
s_age,eligibility_screening_questionnaire,,radio,"[Retired, 9/11/20] A3a. What is your age?","1, Between 18-50 years |2, Less than 18 years or greater than 50 years",,,,,,[s_interest]='1',,,,,," @HIDDEN"
s_a3_script,eligibility_screening_questionnaire,,descriptive,"
<b><u>STOP</u>, PATIENT NOT ELIGIBLE FOR COHORT STUDY. 

SAY</b>: Thank you for your time.  We are looking for patients between the age of 18 to 50 years.  We wish you well.

",,,,,,,"[s_age]='2' or ([s_age_spec]<>"""" and ([s_age_spec]>50 or [s_age_spec]<18))",,,,,," @HIDDEN-SURVEY"
s_deliversite,eligibility_screening_questionnaire,,radio,"A4. Do you plan to deliver at [s_site] (hospital, hospital system, delivery facility)?","1, Yes | 0, No",,,,,,"[s_age]='1' or ([s_age_spec]>=18 and [s_age_spec]<=50)",,,,,,
s_a4_script,eligibility_screening_questionnaire,,descriptive,"
<b><u>STOP</u>, PATIENT NOT ELIGIBLE FOR COHORT STUDY. 

SAY</b>: Thank you for your time.  We are looking for patients who plan to deliver at [s_site].  We wish you well.

",,,,,,,[s_deliversite]='0',,,,,," @HIDDEN-SURVEY"
s_phone,eligibility_screening_questionnaire,,radio,"A5. Do you have a functioning (home or mobile) telephone number?","1, Yes | 0, No",,,,,,[s_deliversite]='1',,,,,,
s_a5_script,eligibility_screening_questionnaire,,descriptive,"
<b><u>STOP</u>, PATIENT NOT ELIGIBLE FOR COHORT STUDY. 

SAY</b>: Thank you for your time.  We are looking for patients with a permanent home or mobile phone number.  We wish you well.

",,,,,,,[s_phone]='0',,,,,," @HIDDEN-SURVEY"
s_samples,eligibility_screening_questionnaire,,radio,"A6. Are you willing to collect and mail respiratory samples and be contacted by telephone, text message, or email on a weekly basis during pregnancy and once sometime during 4 weeks post partum?","1, Yes | 0, No",,,,,,[s_phone]='1',,,,,,
s_a6_script,eligibility_screening_questionnaire,,descriptive,"
<b><u>STOP</u>, PATIENT NOT ELIGIBLE FOR COHORT STUDY. 

SAY</b>: Thank you for your time.  We are looking for patients who are willing to collect and mail respiratory samples and be contacted on a weekly basis during pregnancy and up through 4 weeks post partum.  We wish you well. 

",,,,,,,[s_samples]='0',,,,,," @HIDDEN-SURVEY"
s_reading,eligibility_screening_questionnaire,,radio,"A7. Are you comfortable reading text messages or emails sent to you in either English or Spanish?","1, Yes | 0, No",,,,,,[s_samples]='1',,,,,,
s_a7_script,eligibility_screening_questionnaire,,descriptive,"
<b><u>STOP</u>, PATIENT NOT ELIGIBLE FOR COHORT STUDY. 

SAY</b>: Thank you for your time.  We are looking for patients who are comfortable reading text messages or emails in English or Spanish.  We wish you well.

",,,,,,,[s_reading]='0',,,,,," @HIDDEN-SURVEY"
s_ga,eligibility_screening_questionnaire,,text,"A8. What week of gestation are you in? ",,,integer,0,43,,"[s_reading]='1' and [s_ga_unk]=""""",,,,,,
s_ga_unk,eligibility_screening_questionnaire,,radio,"Week of gestation is UNKNOWN:","88, Unknown",,,,,,"[s_reading]='1' and [s_ga]=""""",,,,,,
s_a8_script,eligibility_screening_questionnaire,,descriptive,"
<b><u>STOP</u>, PATIENT NOT ELIGIBLE FOR COHORT STUDY. 

SAY</b>: Thank you for your time. We are looking for patients who are less than 28 weeks into their pregnancy.  We wish you well. 

",,,,,,,[s_ga]>=28,,,,,," @HIDDEN-SURVEY"
s_trimester,eligibility_screening_questionnaire,,radio,"A8a. What trimester are you in? [READ OPTIONS ALOUD]","1, First trimester, 0 - 13 weeks | 2, Second trimester, 14 - 27 weeks | 3, Third trimester, 28 - 40 weeks | 88, Unknown",,,,,,[s_ga_unk]='88',,,,,,
s_a8a_script,eligibility_screening_questionnaire,,descriptive,"
<b><u>STOP</u>, PATIENT NOT ELIGIBLE FOR COHORT STUDY. 

SAY</b>: Thank you for your time. We are looking for patients who are in the first or second trimester of their pregnancy.  We wish you well. 

",,,,,,,[s_trimester]='3',,,,,," @HIDDEN-SURVEY"
s_a8a_script2,eligibility_screening_questionnaire,,descriptive,"
<b><u>STOP</u>, PATIENT NOT ELIGIBLE FOR COHORT STUDY. 

SAY</b>: Thank you for your time. We are looking for patients with information about when their pregnancy started. We wish you well.

",,,,,,,[s_trimester]='88',,,,,," @HIDDEN-SURVEY"
s_emr,eligibility_screening_questionnaire,,radio,"A9. Are you willing to allow information to be collected from your electronic medical record and the electronic medical record of your infant at the end of your pregnancy? ","1, Yes | 0, No",,,,,,"[s_trimester]='1' or [s_trimester]='2' or ([s_ga]<>"""" and [s_ga]<28)",,,,,,
s_a9_script,eligibility_screening_questionnaire,,descriptive,"
<b><u>STOP</u>, PATIENT NOT ELIGIBLE FOR COHORT STUDY. 

SAY</b>: Thank you for your time.  We are looking for patients that are willing to allow the collection of their infant's electronic medical records.  We wish you well.

",,,,,,,[s_emr]='0',,,,,," @HIDDEN-SURVEY"
